Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
190717_A00692_0021_TL1906128_CMV30_MAN-20190712_OvationSoloRNA_L000_R1	190717_A00692_0021_TL1906128_CMV30_MAN-20190712_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30400955.0	0.0	35-151	53.0	29.181830661162955	143.07200619191076	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
190717_A00692_0021_TL1906128_CMV30_MAN-20190712_OvationSoloRNA_L000_R2	190717_A00692_0021_TL1906128_CMV30_MAN-20190712_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30400955.0	0.0	130-151	53.0	25.45848693454074	150.27926681908514	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	fail
190717_A00692_0021_TL1906129_CMV31_MAN-20190712_OvationSoloRNA_L000_R1	190717_A00692_0021_TL1906129_CMV31_MAN-20190712_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31633660.0	0.0	35-151	54.0	32.23022754664154	136.3372850944216	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
190717_A00692_0021_TL1906129_CMV31_MAN-20190712_OvationSoloRNA_L000_R2	190717_A00692_0021_TL1906129_CMV31_MAN-20190712_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31633660.0	0.0	130-151	54.0	27.540919023576844	150.24885429001893	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	fail
190717_A00692_0021_TL1906130_CMV8_MAN-20190712_OvationSoloRNA_L000_R1	190717_A00692_0021_TL1906130_CMV8_MAN-20190712_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31645457.0	0.0	35-151	55.0	27.250562785556692	139.19466810038483	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
190717_A00692_0021_TL1906130_CMV8_MAN-20190712_OvationSoloRNA_L000_R2	190717_A00692_0021_TL1906130_CMV8_MAN-20190712_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31645457.0	0.0	130-151	55.0	23.049416625120926	150.3972702306053	pass	pass		pass	fail	fail	pass	warn	fail	fail	fail
190717_A00692_0021_TL1906131_CMV9_MAN-20190712_OvationSoloRNA_L000_R1	190717_A00692_0021_TL1906131_CMV9_MAN-20190712_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34427341.0	0.0	35-151	56.0	25.15363761996059	141.93333699515162	pass	pass		pass	fail	fail	pass	warn	fail	warn	warn
190717_A00692_0021_TL1906131_CMV9_MAN-20190712_OvationSoloRNA_L000_R2	190717_A00692_0021_TL1906131_CMV9_MAN-20190712_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34427341.0	0.0	132-151	56.0	21.687810242308725	150.5266415434175	pass	pass		pass	fail	warn	pass	warn	fail	fail	fail
190717_A00692_0021_TL1906132_CMV26_MAN-20190712_OvationSoloRNA_L000_R1	190717_A00692_0021_TL1906132_CMV26_MAN-20190712_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30342005.0	0.0	35-151	54.0	32.9094648501975	133.47535988475383	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
190717_A00692_0021_TL1906132_CMV26_MAN-20190712_OvationSoloRNA_L000_R2	190717_A00692_0021_TL1906132_CMV26_MAN-20190712_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30342005.0	0.0	130-151	55.0	27.23019489722343	150.29020847501673	pass	pass		pass	fail	warn	pass	warn	fail	fail	fail
