Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
190717_A00692_0021_TL1906128_CMV30_MAN-20190712_OvationSoloRNA_L000.PE	23193319	3770791	0	0	0	0	0	0	0	0	17623526	0	1470940	0	328062	16.258091392611814
190717_A00692_0021_TL1906128_CMV30_MAN-20190712_OvationSoloRNA_L000.SE	7005385	902839	0	0	0	0	0	0	0	0	5809508	0	255777	0	37261	12.887785610640956
190717_A00692_0021_TL1906129_CMV31_MAN-20190712_OvationSoloRNA_L000.PE	25283737	4122333	0	0	0	0	0	0	0	0	19218571	0	1624202	0	318631	16.304286822790477
190717_A00692_0021_TL1906129_CMV31_MAN-20190712_OvationSoloRNA_L000.SE	12788911	1109677	0	0	0	0	0	0	0	0	11270591	0	362592	0	46051	8.676868577785864
190717_A00692_0021_TL1906130_CMV8_MAN-20190712_OvationSoloRNA_L000.PE	24843490	2757733	0	0	0	0	0	0	0	0	20378379	0	1435757	0	271621	11.100425101304205
190717_A00692_0021_TL1906130_CMV8_MAN-20190712_OvationSoloRNA_L000.SE	11820710	837068	0	0	0	0	0	0	0	0	10665945	0	279682	0	38015	7.081368208847015
190717_A00692_0021_TL1906131_CMV9_MAN-20190712_OvationSoloRNA_L000.PE	27777226	2524340	0	0	0	0	0	0	0	0	23426279	0	1540959	0	285648	9.087804520148989
190717_A00692_0021_TL1906131_CMV9_MAN-20190712_OvationSoloRNA_L000.SE	14605869	901138	0	0	0	0	0	0	0	0	13375776	0	287666	0	41289	6.169697948133042
190717_A00692_0021_TL1906132_CMV26_MAN-20190712_OvationSoloRNA_L000.PE	22031015	3741161	0	0	0	0	0	0	0	0	16460049	0	1503407	0	326398	16.98133744632283
190717_A00692_0021_TL1906132_CMV26_MAN-20190712_OvationSoloRNA_L000.SE	14179916	1151615	0	0	0	0	0	0	0	0	12597427	0	383272	0	47602	8.121451495199267
190717_A00692_0021_TL1906133_CMV27_MAN-20190712_OvationSoloRNA_L000.PE	25619051	3169588	0	0	0	0	0	0	0	0	20634625	0	1494107	0	320731	12.371996136781178
190717_A00692_0021_TL1906133_CMV27_MAN-20190712_OvationSoloRNA_L000.SE	13605372	1003861	0	0	0	0	0	0	0	0	12237364	0	319980	0	44167	7.378416407871832
190717_A00692_0021_TL1906134_CMV14_MAN-20190712_OvationSoloRNA_L000.PE	29394620	3506747	0	0	0	0	0	0	0	0	23921944	0	1613764	0	352165	11.929893973795206
190717_A00692_0021_TL1906134_CMV14_MAN-20190712_OvationSoloRNA_L000.SE	10186375	965059	0	0	0	0	0	0	0	0	8871777	0	305019	0	44520	9.474017989716655
190717_A00692_0021_TL1906135_CMV15_MAN-20190712_OvationSoloRNA_L000.PE	21745966	2513795	0	0	0	0	0	0	0	0	17601334	0	1417077	0	213760	11.559822175754345
190717_A00692_0021_TL1906135_CMV15_MAN-20190712_OvationSoloRNA_L000.SE	16733159	1311919	0	0	0	0	0	0	0	0	14908288	0	459390	0	53562	7.840235068584479
190717_A00692_0021_TL1906136_CMV20_MAN-20190712_OvationSoloRNA_L000.PE	19498093	3272942	0	0	0	0	0	0	0	0	14702732	0	1279312	0	243107	16.785959529478088
190717_A00692_0021_TL1906136_CMV20_MAN-20190712_OvationSoloRNA_L000.SE	17953422	1271475	0	0	0	0	0	0	0	0	16267387	0	363456	0	51104	7.082076052130898
190717_A00692_0021_TL1906137_CMV21_MAN-20190712_OvationSoloRNA_L000.PE	16766659	3308155	0	0	0	0	0	0	0	0	11853024	0	1268692	0	336788	19.730555741606004
190717_A00692_0021_TL1906137_CMV21_MAN-20190712_OvationSoloRNA_L000.SE	17055351	1264891	0	0	0	0	0	0	0	0	15350377	0	387615	0	52468	7.416387971141726
190717_A00692_0021_TL1906138_CMV1_MAN-20190712_OvationSoloRNA_L000.PE	23169831	3307586	0	0	0	0	0	0	0	0	17949211	0	1559931	0	353103	14.27539976446095
190717_A00692_0021_TL1906138_CMV1_MAN-20190712_OvationSoloRNA_L000.SE	16694635	1017416	0	0	0	0	0	0	0	0	15210308	0	421903	0	45008	6.094269206843995
190717_A00692_0021_TL1906139_CMV2_MAN-20190712_OvationSoloRNA_L000.PE	20285757	3416690	0	0	0	0	0	0	0	0	15065141	0	1459179	0	344747	16.842802563394603
190717_A00692_0021_TL1906139_CMV2_MAN-20190712_OvationSoloRNA_L000.SE	15601277	1122730	0	0	0	0	0	0	0	0	14029453	0	401224	0	47870	7.196398089720477
