Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
190717_A00692_0021_TL1906128_CMV30_MAN-20190712_OvationSoloRNA_L000.PE	16.258091392611814	3770791	0.700893	58.5	14312631.0					
190717_A00692_0021_TL1906128_CMV30_MAN-20190712_OvationSoloRNA_L000.SE	12.887785610640956	902839	0.657351	36.68	2170801.0					
190717_A00692_0021_TL1906128_CMV30_MAN-20190712_OvationSoloRNA_L000_R1						70.81816933883704	53.0	143.07200619191076	18.181818181818183	30400955.0
190717_A00692_0021_TL1906128_CMV30_MAN-20190712_OvationSoloRNA_L000_R2						74.54151306545926	53.0	150.27926681908514	18.181818181818183	30400955.0
190717_A00692_0021_TL1906129_CMV31_MAN-20190712_OvationSoloRNA_L000.PE	16.304286822790477	4122333	0.606309	51.24	11080707.0					
190717_A00692_0021_TL1906129_CMV31_MAN-20190712_OvationSoloRNA_L000.SE	8.676868577785864	1109677	0.721955	30.25	3011504.0					
190717_A00692_0021_TL1906129_CMV31_MAN-20190712_OvationSoloRNA_L000_R1						67.76977245335846	54.0	136.3372850944216	27.27272727272727	31633660.0
190717_A00692_0021_TL1906129_CMV31_MAN-20190712_OvationSoloRNA_L000_R2						72.45908097642315	54.0	150.24885429001893	27.27272727272727	31633660.0
190717_A00692_0021_TL1906130_CMV8_MAN-20190712_OvationSoloRNA_L000.PE	11.100425101304205	2757733	0.71144	47.86	10742913.0					
190717_A00692_0021_TL1906130_CMV8_MAN-20190712_OvationSoloRNA_L000.SE	7.081368208847015	837068	0.747472	24.97	2284331.0					
190717_A00692_0021_TL1906130_CMV8_MAN-20190712_OvationSoloRNA_L000_R1						72.7494372144433	55.0	139.19466810038483	40.0	31645457.0
190717_A00692_0021_TL1906130_CMV8_MAN-20190712_OvationSoloRNA_L000_R2						76.95058337487907	55.0	150.3972702306053	50.0	31645457.0
190717_A00692_0021_TL1906131_CMV9_MAN-20190712_OvationSoloRNA_L000.PE	9.087804520148989	2524340	0.721961	43.29	10350584.0					
190717_A00692_0021_TL1906131_CMV9_MAN-20190712_OvationSoloRNA_L000.SE	6.169697948133042	901138	0.778904	26.25	2746940.0					
190717_A00692_0021_TL1906131_CMV9_MAN-20190712_OvationSoloRNA_L000_R1						74.84636238003941	56.0	141.93333699515162	30.0	34427341.0
190717_A00692_0021_TL1906131_CMV9_MAN-20190712_OvationSoloRNA_L000_R2						78.31218975769127	56.0	150.5266415434175	40.0	34427341.0
190717_A00692_0021_TL1906132_CMV26_MAN-20190712_OvationSoloRNA_L000.PE	16.98133744632283	3741161	0.578937	49.98	9464466.0					
190717_A00692_0021_TL1906132_CMV26_MAN-20190712_OvationSoloRNA_L000.SE	8.121451495199267	1151615	0.722725	26.48	2998368.0					
190717_A00692_0021_TL1906132_CMV26_MAN-20190712_OvationSoloRNA_L000_R1						67.09053514980249	54.0	133.47535988475383	40.0	30342005.0
190717_A00692_0021_TL1906132_CMV26_MAN-20190712_OvationSoloRNA_L000_R2						72.76980510277657	55.0	150.29020847501673	40.0	30342005.0
