Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
190717_A00692_0021_TL1906128_CMV30_MAN-20190712_OvationSoloRNA_L000.PE	Unknown Library	966.0	18620827.0	35242131.0	0.0	904.0	13051096.0	101639.0	0.700893	5809451.0
190717_A00692_0021_TL1906128_CMV30_MAN-20190712_OvationSoloRNA_L000.SE	Unknown Library	3490092.0	0.0	5809508.0	0.0	2294215.0	0.0	0.0	0.657351	
190717_A00692_0021_TL1906129_CMV31_MAN-20190712_OvationSoloRNA_L000.PE	Unknown Library	2214.0	15404641.0	38425785.0	0.0	2085.0	9339604.0	79444.0	0.606309	6768314.0
190717_A00692_0021_TL1906129_CMV31_MAN-20190712_OvationSoloRNA_L000.SE	Unknown Library	5460692.0	0.0	11270591.0	0.0	3942372.0	0.0	0.0	0.721955	
190717_A00692_0021_TL1906130_CMV8_MAN-20190712_OvationSoloRNA_L000.PE	Unknown Library	2562.0	15472282.0	40743232.0	0.0	2440.0	11007293.0	90929.0	0.71144	4632398.0
190717_A00692_0021_TL1906130_CMV8_MAN-20190712_OvationSoloRNA_L000.SE	Unknown Library	4572824.0	0.0	10665945.0	0.0	3418059.0	0.0	0.0	0.747472	
190717_A00692_0021_TL1906131_CMV9_MAN-20190712_OvationSoloRNA_L000.PE	Unknown Library	2061.0	15647445.0	46842146.0	0.0	1930.0	11296629.0	98795.0	0.721961	4491767.0
190717_A00692_0021_TL1906131_CMV9_MAN-20190712_OvationSoloRNA_L000.SE	Unknown Library	5563617.0	0.0	13375776.0	0.0	4333524.0	0.0	0.0	0.778904	
190717_A00692_0021_TL1906132_CMV26_MAN-20190712_OvationSoloRNA_L000.PE	Unknown Library	2889.0	13229112.0	32905212.0	0.0	2756.0	7658279.0	69526.0	0.578937	6383034.0
190717_A00692_0021_TL1906132_CMV26_MAN-20190712_OvationSoloRNA_L000.SE	Unknown Library	5707289.0	0.0	12597427.0	0.0	4124800.0	0.0	0.0	0.722725	
190717_A00692_0021_TL1906133_CMV27_MAN-20190712_OvationSoloRNA_L000.PE	Unknown Library	2603.0	14554545.0	41255655.0	0.0	2489.0	9570233.0	76286.0	0.657569	5338888.0
190717_A00692_0021_TL1906133_CMV27_MAN-20190712_OvationSoloRNA_L000.SE	Unknown Library	5456152.0	0.0	12237364.0	0.0	4088144.0	0.0	0.0	0.749272	
190717_A00692_0021_TL1906134_CMV14_MAN-20190712_OvationSoloRNA_L000.PE	Unknown Library	1722.0	20356369.0	47835194.0	0.0	1609.0	14883806.0	141076.0	0.731171	5627529.0
190717_A00692_0021_TL1906134_CMV14_MAN-20190712_OvationSoloRNA_L000.SE	Unknown Library	4761415.0	0.0	8871777.0	0.0	3446817.0	0.0	0.0	0.723906	
190717_A00692_0021_TL1906135_CMV15_MAN-20190712_OvationSoloRNA_L000.PE	Unknown Library	2531.0	14636108.0	35189816.0	0.0	2411.0	10491596.0	75329.0	0.71685	4288272.0
190717_A00692_0021_TL1906135_CMV15_MAN-20190712_OvationSoloRNA_L000.SE	Unknown Library	6866390.0	0.0	14908288.0	0.0	5041519.0	0.0	0.0	0.734231	
190717_A00692_0021_TL1906136_CMV20_MAN-20190712_OvationSoloRNA_L000.PE	Unknown Library	6304.0	13418872.0	29373136.0	0.0	6102.0	8623713.0	85599.0	0.642732	5193804.0
190717_A00692_0021_TL1906136_CMV20_MAN-20190712_OvationSoloRNA_L000.SE	Unknown Library	6823813.0	0.0	16267387.0	0.0	5137778.0	0.0	0.0	0.752919	
190717_A00692_0021_TL1906137_CMV21_MAN-20190712_OvationSoloRNA_L000.PE	Unknown Library	5433.0	13200750.0	23678504.0	0.0	5242.0	8287306.0	89844.0	0.62786	5385422.0
190717_A00692_0021_TL1906137_CMV21_MAN-20190712_OvationSoloRNA_L000.SE	Unknown Library	6948392.0	0.0	15350377.0	0.0	5243418.0	0.0	0.0	0.754623	
190717_A00692_0021_TL1906138_CMV1_MAN-20190712_OvationSoloRNA_L000.PE	Unknown Library	4278.0	13030296.0	35876805.0	0.0	4115.0	7809839.0	67589.0	0.59942	5863048.0
190717_A00692_0021_TL1906138_CMV1_MAN-20190712_OvationSoloRNA_L000.SE	Unknown Library	6529009.0	0.0	15210308.0	0.0	5044682.0	0.0	0.0	0.772657	
190717_A00692_0021_TL1906139_CMV2_MAN-20190712_OvationSoloRNA_L000.PE	Unknown Library	4383.0	12704965.0	30108039.0	0.0	4218.0	7484514.0	66715.0	0.589166	5920907.0
190717_A00692_0021_TL1906139_CMV2_MAN-20190712_OvationSoloRNA_L000.SE	Unknown Library	6421955.0	0.0	14029453.0	0.0	4850131.0	0.0	0.0	0.755242	
190717_A00692_0021_TL1906140_CMV3_MAN-20190712_OvationSoloRNA_L000.PE	Unknown Library	4001.0	13350724.0	33962919.0	0.0	3869.0	8812809.0	72508.0	0.660146	4852346.0
190717_A00692_0021_TL1906140_CMV3_MAN-20190712_OvationSoloRNA_L000.SE	Unknown Library	5858450.0	0.0	11877893.0	0.0	4642991.0	0.0	0.0	0.792529	
190717_A00692_0021_TL1906141_CMV4_MAN-20190712_OvationSoloRNA_L000.PE	Unknown Library	6312.0	12313056.0	35781565.0	0.0	6140.0	7437060.0	63563.0	0.604092	5452732.0
190717_A00692_0021_TL1906141_CMV4_MAN-20190712_OvationSoloRNA_L000.SE	Unknown Library	7400328.0	0.0	18445524.0	0.0	5806187.0	0.0	0.0	0.784585	
