Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
190717_A00692_0021_TL1906128_CMV30_MAN-20190712_OvationSoloRNA_L000.PE	24464899.0	299.0	14312631.0	58.5	290.17	14400617.0	14133254.0	13971576.0	123483.0	11886.0	293672.0	0.68	0.04	1.95	0.01	1.72	4309162.0	17.61	1062200.0	4.34	0.0	16.69	2.85	0	4083589	697317
190717_A00692_0021_TL1906128_CMV30_MAN-20190712_OvationSoloRNA_L000.SE	5918113.0	108.0	2170801.0	36.68	109.17	955255.0	931480.0	923144.0	6890.0	761.0	24460.0	1.38	0.07	2.33	0.01	1.63	1319291.0	22.29	210547.0	3.56	0.0	35.82	1.65	0	2119827	97647
190717_A00692_0021_TL1906129_CMV31_MAN-20190712_OvationSoloRNA_L000.PE	21623108.0	298.0	11080707.0	51.24	289.64	11003805.0	10771681.0	10655001.0	94270.0	9646.0	244888.0	0.67	0.04	1.94	0.01	1.7	4326148.0	20.01	1214540.0	5.62	0.0	19.61	3.53	0	4238703	763010
190717_A00692_0021_TL1906129_CMV31_MAN-20190712_OvationSoloRNA_L000.SE	9955885.0	101.0	3011504.0	30.25	104.82	1271287.0	1240045.0	1232195.0	8700.0	913.0	29479.0	1.32	0.06	2.24	0.01	1.63	2449188.0	24.6	411477.0	4.13	0.0	39.64	1.38	0	3946331	137385
190717_A00692_0021_TL1906130_CMV8_MAN-20190712_OvationSoloRNA_L000.PE	22447752.0	299.0	10742913.0	47.86	290.15	11673980.0	11464705.0	11344630.0	92336.0	8840.0	228174.0	0.67	0.02	1.67	0.01	1.65	4731931.0	21.08	1229168.0	5.48	0.0	21.76	3.82	0	4885996	857744
190717_A00692_0021_TL1906130_CMV8_MAN-20190712_OvationSoloRNA_L000.SE	9148745.0	101.0	2284331.0	24.97	104.89	1086224.0	1059441.0	1046104.0	7191.0	625.0	32304.0	1.28	0.02	1.67	0.01	1.55	2288493.0	25.01	395355.0	4.32	0.0	43.93	1.76	0	4019529	161037
190717_A00692_0021_TL1906131_CMV9_MAN-20190712_OvationSoloRNA_L000.PE	23908062.0	299.0	10350584.0	43.29	290.2	11116986.0	10911030.0	10800638.0	88259.0	8285.0	219804.0	0.68	0.02	1.71	0.01	1.73	5298922.0	22.16	1320965.0	5.53	0.0	24.98	4.04	0	5971779	965812
190717_A00692_0021_TL1906131_CMV9_MAN-20190712_OvationSoloRNA_L000.SE	10463340.0	103.0	2746940.0	26.25	107.29	1345112.0	1314404.0	1300918.0	8469.0	848.0	34877.0	1.14	0.02	1.7	0.01	1.62	2816677.0	26.92	454392.0	4.34	0.0	40.59	1.89	0	4247551	197780
190717_A00692_0021_TL1906132_CMV26_MAN-20190712_OvationSoloRNA_L000.PE	18936001.0	298.0	9464466.0	49.98	289.35	9882557.0	9681546.0	9586701.0	82272.0	7816.0	205768.0	0.67	0.02	1.74	0.01	1.75	3767535.0	19.9	1025647.0	5.42	0.0	21.07	3.63	0	3990806	687547
190717_A00692_0021_TL1906132_CMV26_MAN-20190712_OvationSoloRNA_L000.SE	11324807.0	99.0	2998368.0	26.48	102.96	1343837.0	1310019.0	1299402.0	9008.0	929.0	34498.0	1.33	0.02	1.75	0.01	1.65	2708921.0	23.92	477382.0	4.22	0.0	44.05	1.34	0	4988389	151747
190717_A00692_0021_TL1906133_CMV27_MAN-20190712_OvationSoloRNA_L000.PE	21143602.0	298.0	9833919.0	46.51	289.53	10849229.0	10630816.0	10525751.0	90804.0	8135.0	224539.0	0.67	0.02	1.73	0.01	1.77	4723229.0	22.34	1275621.0	6.03	0.0	21.32	3.8	0	4507443	803390
190717_A00692_0021_TL1906133_CMV27_MAN-20190712_OvationSoloRNA_L000.SE	10960298.0	102.0	2788988.0	25.45	105.46	1347084.0	1314615.0	1305689.0	8951.0	918.0	31526.0	1.35	0.02	1.73	0.01	1.65	2667164.0	24.33	448062.0	4.09	0.0	44.87	1.26	0	4917982	138102
190717_A00692_0021_TL1906134_CMV14_MAN-20190712_OvationSoloRNA_L000.PE	26871345.0	300.0	14604518.0	54.35	291.04	16344059.0	16074706.0	15913269.0	128659.0	12354.0	289777.0	0.65	0.03	2.0	0.01	1.79	5753573.0	21.41	1534252.0	5.71	0.0	15.58	2.95	0	4186338	792664
190717_A00692_0021_TL1906134_CMV14_MAN-20190712_OvationSoloRNA_L000.SE	8483717.0	106.0	2716378.0	32.02	110.9	1338944.0	1307471.0	1299927.0	9116.0	944.0	28957.0	1.12	0.07	2.42	0.01	1.67	2045037.0	24.11	309686.0	3.65	0.0	38.99	1.24	0	3307430	105186
190717_A00692_0021_TL1906135_CMV15_MAN-20190712_OvationSoloRNA_L000.PE	22121615.0	298.0	10614586.0	47.98	288.89	11297497.0	11145070.0	11022014.0	95687.0	9249.0	170547.0	0.67	0.02	1.71	0.01	1.67	4024053.0	18.19	1068095.0	4.83	0.0	25.3	3.7	0	5596431	818450
190717_A00692_0021_TL1906135_CMV15_MAN-20190712_OvationSoloRNA_L000.SE	13297244.0	102.0	3721789.0	27.99	105.5	1667754.0	1635298.0	1613526.0	12652.0	1250.0	40326.0	1.32	0.02	1.68	0.01	1.63	3144601.0	23.65	520165.0	3.91	0.0	43.14	1.31	0	5736493	174196
190717_A00692_0021_TL1906136_CMV20_MAN-20190712_OvationSoloRNA_L000.PE	20508976.0	298.0	10045729.0	48.98	290.4	9913386.0	9745309.0	9637441.0	84269.0	9143.0	182533.0	0.68	0.03	1.95	0.01	1.6	3379447.0	16.48	780333.0	3.8	0.0	27.35	3.38	0	5610147	693320
190717_A00692_0021_TL1906136_CMV20_MAN-20190712_OvationSoloRNA_L000.SE	13702453.0	88.0	3360939.0	24.53	95.74	1337175.0	1307798.0	1281735.0	8800.0	1061.0	45579.0	1.18	0.05	2.21	0.01	1.57	3462874.0	25.27	628353.0	4.59	0.0	44.04	1.57	0	6035138	215149
190717_A00692_0021_TL1906137_CMV21_MAN-20190712_OvationSoloRNA_L000.PE	21222071.0	299.0	10100687.0	47.6	290.12	10785088.0	10587014.0	10474820.0	93500.0	9349.0	207419.0	0.68	0.04	2.09	0.01	1.8	3105496.0	14.63	646923.0	3.05	0.0	31.35	3.37	0	6653717	715248
190717_A00692_0021_TL1906137_CMV21_MAN-20190712_OvationSoloRNA_L000.SE	13587500.0	91.0	3555066.0	26.16	98.38	1549572.0	1508395.0	1480482.0	10174.0	1158.0	57758.0	1.13	0.09	2.47	0.02	1.66	3393326.0	24.97	614618.0	4.52	0.0	42.52	1.82	0	5777206	247284
190717_A00692_0021_TL1906138_CMV1_MAN-20190712_OvationSoloRNA_L000.PE	19384679.0	298.0	8894669.0	45.89	289.39	9398419.0	9254310.0	9173116.0	75545.0	7086.0	142672.0	0.69	0.04	2.1	0.01	1.75	4139905.0	21.36	1015139.0	5.24	0.0	23.47	4.05	0	4549842	785124
190717_A00692_0021_TL1906138_CMV1_MAN-20190712_OvationSoloRNA_L000.SE	13082899.0	94.0	3170064.0	24.23	99.63	1403228.0	1367982.0	1360743.0	8523.0	890.0	33072.0	1.41	0.08	2.43	0.01	1.68	3358945.0	25.67	611783.0	4.68	0.0	44.14	1.28	0	5774650	167457
