"","NGenes","Direction","PValue","FDR"
"GO_RESPONSE_TO_TYPE_I_INTERFERON",48,"Up",5.91856117916108e-26,3.64642554248114e-22
"GO_DEFENSE_RESPONSE_TO_VIRUS",111,"Up",5.51181498676303e-14,1.69791460667235e-10
"GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN",11,"Up",4.04962877648089e-13,6.72393388052753e-10
"GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN",13,"Up",4.36548214934428e-13,6.72393388052753e-10
"GO_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY",43,"Up",6.08171470535385e-13,7.49388885993701e-10
"GO_DIGESTION",56,"Up",4.43078611633033e-11,4.54967887711853e-08
"GO_RESPONSE_TO_INTERFERON_GAMMA",71,"Up",6.69982304692716e-11,5.89680139887403e-08
"GO_CELLULAR_RESPONSE_TO_INTERFERON_GAMMA",59,"Up",6.4108935710161e-10,4.93718941137878e-07
"GO_REGULATION_OF_CELL_KILLING",32,"Up",1.37131462838153e-08,9.38741047273179e-06
"GO_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY",29,"Up",2.79453508350473e-08,1.61888257748234e-05
"GO_RESPONSE_TO_VIRUS",166,"Up",2.89039252593827e-08,1.61888257748234e-05
"GO_SOLUTE_PROTON_SYMPORTER_ACTIVITY",18,"Up",5.79160514838828e-08,2.97350660993502e-05
"GO_CYTOKINE_MEDIATED_SIGNALING_PATHWAY",245,"Up",9.98990317550526e-08,4.50630903064016e-05
"GO_NEGATIVE_REGULATION_OF_CELL_KILLING",12,"Up",1.02399491038731e-07,4.50630903064016e-05
"GO_MHC_PROTEIN_COMPLEX",11,"Up",2.02714234594155e-07,8.32614932889725e-05
"GO_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY",12,"Up",2.80531583520206e-07,0.000108022192879249
"GO_RESPONSE_TO_INTERFERON_ALPHA",18,"Up",3.32829956668064e-07,0.000108926072733701
"GO_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY",8,"Up",3.39551803251006e-07,0.000108926072733701
"GO_REGULATION_OF_PLASMA_LIPOPROTEIN_PARTICLE_LEVELS",29,"Up",3.4681128235913e-07,0.000108926072733701
"GO_MHC_CLASS_I_PROTEIN_COMPLEX",7,"Up",3.53598677921444e-07,0.000108926072733701
"GO_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION",40,"Up",4.0007137372564e-07,0.000116128478151983
"GO_NEGATIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE",32,"Up",4.14677247093594e-07,0.000116128478151983
"GO_AMIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",12,"Up",4.62738350535514e-07,0.000123953520767361
"GO_POSITIVE_REGULATION_OF_CELL_KILLING",18,"Up",5.38769039874929e-07,0.000138306502277893
"GO_NEGATIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY",10,"Up",6.39268964755044e-07,0.00015148215737907
"GO_NEGATIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",10,"Up",6.39268964755044e-07,0.00015148215737907
"GO_SECONDARY_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",118,"Up",7.24624980841083e-07,0.000164491925756953
"GO_LUMENAL_SIDE_OF_MEMBRANE",21,"Up",7.47569212984043e-07,0.000164491925756953
"GO_DEFENSE_RESPONSE_TO_OTHER_ORGANISM",263,"Up",8.21615291691383e-07,0.000174550752141745
"GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM",96,"Down",9.16658372638142e-07,0.000188251074460786
"GO_CYTOSOLIC_RIBOSOME",98,"Down",1.05095368601479e-06,0.000208868569662488
"GO_CHYLOMICRON",7,"Up",1.29688346859104e-06,0.000243474894958991
"GO_SOLUTE_CATION_SYMPORTER_ACTIVITY",49,"Up",1.30411808694152e-06,0.000243474894958991
"GO_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY",18,"Up",1.46567929620936e-06,0.000258547401263085
"GO_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT",54,"Down",1.46878088690277e-06,0.000258547401263085
"GO_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY",18,"Up",1.52369296178032e-06,0.000260763120486904
"GO_ORGANIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",71,"Up",1.68190355402833e-06,0.000276974329683518
"GO_ORGANIC_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",92,"Up",1.77743959514562e-06,0.000276974329683518
"GO_STEROL_HOMEOSTASIS",37,"Up",1.7982426858206e-06,0.000276974329683518
"GO_CHOLESTEROL_HOMEOSTASIS",37,"Up",1.7982426858206e-06,0.000276974329683518
"GO_ORGANOPHOSPHATE_ESTER_TRANSPORT",68,"Up",2.00727372970116e-06,0.000301629596309484
"GO_HYDROLASE_ACTIVITY_HYDROLYZING_O_GLYCOSYL_COMPOUNDS",59,"Up",2.10330737595458e-06,0.000308535160553719
"GO_INNATE_IMMUNE_RESPONSE",307,"Up",2.55101238867517e-06,0.000365506682014599
"GO_TRANSLATIONAL_INITIATION",136,"Down",2.86310596606881e-06,0.000396144180483569
"GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE",692,"Up",2.89344069497819e-06,0.000396144180483569
"GO_MACROMOLECULAR_COMPLEX_REMODELING",12,"Up",3.53678336749275e-06,0.000438883807346911
"GO_PLASMA_LIPOPROTEIN_PARTICLE_REMODELING",12,"Up",3.53678336749275e-06,0.000438883807346911
"GO_PROTEIN_LIPID_COMPLEX_REMODELING",12,"Up",3.53678336749275e-06,0.000438883807346911
"GO_ACYLGLYCEROL_HOMEOSTASIS",15,"Up",3.56179035340781e-06,0.000438883807346911
"GO_TRIGLYCERIDE_HOMEOSTASIS",15,"Up",3.56179035340781e-06,0.000438883807346911
"GO_NEGATIVE_REGULATION_OF_VIRAL_PROCESS",68,"Up",3.85662919537788e-06,0.000462247181238671
"GO_PEPTIDE_ANTIGEN_BINDING",16,"Up",3.90145324207286e-06,0.000462247181238671
"GO_PROTEIN_LIPID_COMPLEX_SUBUNIT_ORGANIZATION",21,"Up",3.99738335820611e-06,0.000464676959809582
"GO_ER_TO_GOLGI_TRANSPORT_VESICLE",54,"Up",4.17632782879846e-06,0.000468543459402526
"GO_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING",9,"Up",4.18274472766416e-06,0.000468543459402526
"GO_IMMUNE_RESPONSE",517,"Up",4.29839641582585e-06,0.000472900362819698
