"","NGenes","Direction","PValue","FDR"
"GO_RESPONSE_TO_TYPE_I_INTERFERON",47,"Up",2.36941425555827e-21,1.45979612284945e-17
"GO_CYTOSOLIC_RIBOSOME",98,"Down",3.56380854415895e-15,1.09783122202816e-11
"GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM",96,"Down",1.13749503033149e-14,2.33603562729078e-11
"GO_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT",54,"Down",3.13350017943132e-13,4.82637365136909e-10
"GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM",111,"Down",1.48148781844938e-12,1.82548928989333e-09
"GO_RIBOSOMAL_SUBUNIT",147,"Down",2.38372970874445e-12,2.44769312259576e-09
"GO_DEFENSE_RESPONSE_TO_VIRUS",110,"Up",6.2412178319961e-12,5.49316329470399e-09
"GO_TRANSLATIONAL_INITIATION",136,"Down",8.83536499932456e-12,6.80433547010482e-09
"GO_MULTI_ORGANISM_METABOLIC_PROCESS",132,"Down",4.75818511118735e-11,3.02871491814442e-08
"GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY",112,"Down",4.91594695365106e-11,3.02871491814442e-08
"GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN",11,"Up",1.37714128636255e-10,7.71324315025424e-08
"GO_RIBOSOME",198,"Down",1.59070164448023e-10,8.16692735970227e-08
"GO_STRUCTURAL_CONSTITUENT_OF_RIBOSOME",180,"Down",2.13567978720874e-10,1.01214793607639e-07
"GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN",13,"Up",3.51322306801128e-10,1.44317473561453e-07
"GO_LARGE_RIBOSOMAL_SUBUNIT",86,"Down",3.51365379552312e-10,1.44317473561453e-07
"GO_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY",44,"Up",5.57490215697307e-10,2.14668576181944e-07
"GO_PROTEIN_TARGETING_TO_MEMBRANE",136,"Down",1.9888246438401e-09,7.20773448864638e-07
"GO_CYTOSOLIC_PART",181,"Down",2.45860534214745e-09,8.41525972942804e-07
"GO_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT",38,"Down",2.13569755387809e-08,6.92528033128575e-06
"GO_CELLULAR_RESPONSE_TO_INTERFERON_GAMMA",60,"Up",4.37018692336555e-08,1.34623608174276e-05
