Geneid,Length,Ensembl,symbol,entrezid,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000115415.20,9770,ENSG00000115415,STAT1,6772,1.033600294451924,7.856738394038389,7.295446253861735,4.720522735966259e-6,0.020364355212367492,4.4783848634262835
ENSG00000137965.11,2038,ENSG00000137965,IFI44,10561,1.552103441742028,4.268606895811385,7.213720716870191,6.578602205629112e-6,0.020364355212367492,3.9469602568111295
ENSG00000115267.8,5094,ENSG00000115267,IFIH1,64135,0.884841059084863,5.543086557725202,6.760372317613443,8.241464750385353e-6,0.020364355212367492,3.9217312050109445
ENSG00000137628.17,6746,ENSG00000137628,DDX60,55601,1.3304615308030332,5.889854754929269,6.970727186501596,1.2051805205619215e-5,0.02203586497524576,3.626953479392996
ENSG00000140853.15,12386,ENSG00000140853,NLRC5,84166,2.4446383965501797,1.9658820349147792,7.117167803759459,5.933974214359064e-6,0.020364355212367492,2.678513832643313
ENSG00000221963.6,10065,ENSG00000221963,APOL6,80830,0.7363985252275889,6.217797069885791,5.72350548982598,5.105710686817262e-5,0.05483173355667128,2.2075687759381015
ENSG00000119922.10,4074,ENSG00000119922,IFIT2,3433,0.6197264372680822,5.071207179745312,5.558362420182114,5.807211316064766e-5,0.05483173355667128,2.0702009993134443
ENSG00000138496.16,8938,ENSG00000138496,PARP9,83666,0.7279587623919666,6.764146860700985,5.6198353546830715,6.357766429333035e-5,0.05483173355667128,1.9987745202197447
ENSG00000138646.9,4764,ENSG00000138646,HERC5,51191,2.5801037455116638,1.7981254633895554,6.773025170117504,9.546537329026093e-6,0.020364355212367492,1.967011795733761
ENSG00000117228.10,4862,ENSG00000117228,GBP1,2633,1.7892936773122252,3.9100004340282912,5.942386063463881,5.3552998975014484e-5,0.05483173355667128,1.904473675526952
ENSG00000206337.12,11058,ENSG00000206337,HCP5,10866,3.9738479103427107,1.6247440450217203,7.2430148575688955,8.926091721654535e-6,0.020364355212367492,1.8685397282778746
ENSG00000132530.17,6615,ENSG00000132530,XAF1,54739,2.295120042104526,4.595952439514335,5.947628073936092,7.171569226913216e-5,0.05483173355667128,1.864180174563142
ENSG00000107201.10,4640,ENSG00000107201,DDX58,23586,0.937968150729164,5.585990612314132,5.659930446508409,7.711314977889547e-5,0.05483173355667128,1.8580749670168855
ENSG00000163840.10,5768,ENSG00000163840,DTX3L,151636,0.557383064829029,7.795958096805626,5.417900487748944,7.53612295138682e-5,0.05483173355667128,1.8151215652849118
ENSG00000124201.15,9340,ENSG00000124201,ZNFX1,57169,0.39875120699451827,7.211160410724932,5.406212359781629,7.702243757565771e-5,0.05483173355667128,1.7873650143561948
ENSG00000157601.14,8616,ENSG00000157601,MX1,4599,1.2444703117073725,6.558555839914399,5.72262537968782,9.216513980902797e-5,0.05930309833124731,1.7198631495968675
ENSG00000111331.13,8161,ENSG00000111331,OAS3,4940,1.1990134942150528,6.04860709211588,5.607878084821684,1.0816189563930591e-4,0.06592210010892745,1.5688598770164912
ENSG00000234745.11,3051,ENSG00000234745,HLA-B,3106,2.280482982629508,4.0799547330980355,5.754151438993507,9.266833085592203e-5,0.05930309833124731,1.5672442136241251
