"","NGenes","Direction","PValue","FDR"
"MOSERLE_IFNA_RESPONSE",27,"Up",1.51696736754896e-39,5.67497492200066e-36
"BROWNE_INTERFERON_RESPONSIVE_GENES",55,"Up",1.24652414160387e-37,2.33162340687004e-34
"HECKER_IFNB1_TARGETS",59,"Up",6.9330196633588e-33,7.14404548722957e-30
"SANA_RESPONSE_TO_IFNG_UP",48,"Up",7.63864794143766e-33,7.14404548722957e-30
"DAUER_STAT3_TARGETS_DN",49,"Up",2.51208148392898e-26,1.60375360630499e-23
"FARMER_BREAST_CANCER_CLUSTER_1",15,"Up",2.57217899968723e-26,1.60375360630499e-23
"BOSCO_INTERFERON_INDUCED_ANTIVIRAL_MODULE",59,"Up",5.24278212054644e-25,2.80189255899489e-22
"EINAV_INTERFERON_SIGNATURE_IN_CANCER",24,"Up",1.17612522916281e-23,5.49985560287258e-21
"BOWIE_RESPONSE_TO_TAMOXIFEN",16,"Up",1.01172349995587e-21,4.20539734814988e-19
"SANA_TNF_SIGNALING_UP",63,"Up",1.45617332830992e-21,5.44754442120742e-19
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",44,"Up",2.90420698174545e-21,9.87694392609976e-19
"BOWIE_RESPONSE_TO_EXTRACELLULAR_MATRIX",16,"Up",9.20640595391942e-21,2.87009705613438e-18
"BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS",24,"Up",1.62610509428059e-20,4.67943012131053e-18
"RADAEVA_RESPONSE_TO_IFNA1_UP",45,"Up",1.79388859128623e-20,4.79352658571557e-18
"ZHANG_INTERFERON_RESPONSE",18,"Up",1.49672127484177e-18,3.73282285945539e-16
"DER_IFN_ALPHA_RESPONSE_UP",67,"Up",2.13728294686826e-18,4.99723469014635e-16
"KRASNOSELSKAYA_ILF3_TARGETS_UP",30,"Up",8.17942883050032e-17,1.79995548558245e-14
"SEITZ_NEOPLASTIC_TRANSFORMATION_BY_8P_DELETION_UP",56,"Up",6.93954498397298e-16,1.44226876583572e-13
"ZHU_CMV_8_HR_UP",40,"Up",3.48828142828115e-15,6.86824253852621e-13
"TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP",129,"Up",7.22361519792412e-15,1.35117722277171e-12
"UROSEVIC_RESPONSE_TO_IMIQUIMOD",15,"Up",1.12500560521414e-14,2.00411712814577e-12
"ROETH_TERT_TARGETS_UP",13,"Up",1.25024594671575e-14,2.12598640302892e-12
"KIM_LRRC3B_TARGETS",25,"Up",1.87982910875185e-13,3.00462577957018e-11
"STAMBOLSKY_TARGETS_OF_MUTATED_TP53_DN",41,"Up",1.93496966526497e-13,3.00462577957018e-11
"ZHAN_MULTIPLE_MYELOMA_LB_DN",31,"Up",2.00790281981434e-13,3.00462577957018e-11
"GRANDVAUX_IFN_RESPONSE_NOT_VIA_IRF3",12,"Up",1.31834997531166e-12,1.89690279140035e-10
"DER_IFN_BETA_RESPONSE_UP",95,"Up",2.6385756624922e-12,3.65589316791974e-10
"CROONQUIST_IL6_DEPRIVATION_DN",91,"Down",4.83137700232656e-12,6.45506477346559e-10
"LIANG_SILENCED_BY_METHYLATION_2",38,"Up",1.06942271448023e-11,1.37955530167949e-09
"MISSIAGLIA_REGULATED_BY_METHYLATION_DN",113,"Down",1.76403988111847e-11,2.19975773175473e-09
"WHITEFORD_PEDIATRIC_CANCER_MARKERS",105,"Down",5.32802340533671e-11,6.42972114818214e-09
"ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER",131,"Down",5.83895649495442e-11,6.82610507738265e-09
"GRANDVAUX_IRF3_TARGETS_UP",14,"Up",9.65961480508177e-11,1.09504906017609e-08
"TSAI_DNAJB4_TARGETS_UP",12,"Up",4.56963224051109e-10,5.0279394740447e-08
