"","NGenes","Direction","PValue","FDR"
"MOSERLE_IFNA_RESPONSE",27,"Up",1.65453354305329e-41,6.18960998456236e-38
"BROWNE_INTERFERON_RESPONSIVE_GENES",55,"Up",4.09022095156445e-36,7.65075828990131e-33
"SANA_RESPONSE_TO_IFNG_UP",48,"Up",1.08128698584165e-32,1.34836487134454e-29
"HECKER_IFNB1_TARGETS",59,"Up",2.85717907110449e-31,2.67217672625047e-28
"FARMER_BREAST_CANCER_CLUSTER_1",15,"Up",1.2667651198624e-28,9.47793662681046e-26
"DAUER_STAT3_TARGETS_DN",49,"Up",7.7171371277447e-26,4.81163499914882e-23
"BOSCO_INTERFERON_INDUCED_ANTIVIRAL_MODULE",59,"Up",5.6150933876914e-25,3.00086633762193e-22
"EINAV_INTERFERON_SIGNATURE_IN_CANCER",24,"Up",4.59760101346348e-24,2.14995317392086e-21
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",44,"Up",2.12070218708391e-22,8.8150520909788e-20
"BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS",24,"Up",1.75871152040364e-21,6.57933979783001e-19
"BOWIE_RESPONSE_TO_TAMOXIFEN",16,"Up",4.99237396127152e-21,1.69786099901062e-18
"SANA_TNF_SIGNALING_UP",63,"Up",1.6935533594824e-20,5.27965259818637e-18
"BOWIE_RESPONSE_TO_EXTRACELLULAR_MATRIX",16,"Up",7.71309208273239e-20,2.08159223118648e-17
"RADAEVA_RESPONSE_TO_IFNA1_UP",45,"Up",7.78997359973556e-20,2.08159223118648e-17
"SEITZ_NEOPLASTIC_TRANSFORMATION_BY_8P_DELETION_UP",56,"Up",5.42283785715438e-19,1.3524557615743e-16
"ZHANG_INTERFERON_RESPONSE",18,"Up",9.64404693033634e-19,2.25489872289927e-16
"ROETH_TERT_TARGETS_UP",13,"Up",3.25641850865074e-18,7.16603625933083e-16
"TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP",129,"Up",6.10482401426327e-17,1.26878592429772e-14
"DER_IFN_ALPHA_RESPONSE_UP",67,"Up",3.08981493064636e-16,6.08368297660424e-14
"KRASNOSELSKAYA_ILF3_TARGETS_UP",30,"Up",2.22715492666693e-14,4.16589329033048e-12
"UROSEVIC_RESPONSE_TO_IMIQUIMOD",15,"Up",2.00693942846853e-13,3.57521923900037e-11
