Geneid,Length,Ensembl,symbol,entrezid,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000140853.15,12386,ENSG00000140853,NLRC5,84166,2.7971553480380713,2.1634434401259073,9.405942345071635,4.679903361964059e-8,5.193123421432717e-4,7.426914675415585
ENSG00000115415.20,9770,ENSG00000115415,STAT1,6772,1.1995047567500547,7.92688698161023,8.204583754170459,3.7893989078704115e-7,0.001206165672375152,6.855859887768217
ENSG00000206337.12,11058,ENSG00000206337,HCP5,10866,4.440444047317659,1.8454200298643306,9.507406814274034,8.157592556444733e-8,5.193123421432717e-4,6.51266917032675
ENSG00000137628.17,6746,ENSG00000137628,DDX60,55601,1.5902968347919701,5.968762939352891,7.878387384190322,9.119444537354985e-7,0.0020294387999279092,6.03306003646375
ENSG00000115267.8,5094,ENSG00000115267,IFIH1,64135,1.0692934441803565,5.614201955783486,7.5239998815362394,9.868763578177401e-7,0.0020294387999279092,5.912610278682896
ENSG00000138646.9,4764,ENSG00000138646,HERC5,51191,2.9436029281985183,1.9909933162631506,8.409534537342125,2.397649397989566e-7,0.001017562404506772,5.881694883607963
ENSG00000137965.11,2038,ENSG00000137965,IFI44,10561,1.9546519538776272,4.39430896519218,7.7388679761566515,1.1381898725197916e-6,0.0020294387999279092,5.756492144697405
ENSG00000132530.17,6615,ENSG00000132530,XAF1,54739,2.8581894503142924,4.797936544695211,7.488143450071363,1.7057127761059094e-6,0.0024130150072644934,5.35957292067292
ENSG00000107201.10,4640,ENSG00000107201,DDX58,23586,1.110449750972161,5.639233978618467,7.054828823236599,2.755726868436914e-6,0.0035085914488938792,4.933196007106192
ENSG00000234745.11,3051,ENSG00000234745,HLA-B,3106,3.1385969211476157,4.34893623970082,7.058890142531489,3.844793178538465e-6,0.004127857140695207,4.573300375581272
ENSG00000225492.6,2352,ENSG00000225492,GBP1P1,400759,1.9171254962179844,1.8589588149390335,7.191511461044845,1.275173609756776e-6,0.0020294387999279092,4.473984968361973
ENSG00000163840.10,5768,ENSG00000163840,DTX3L,151636,0.6726351050148658,7.8289527383265645,6.514228110226833,4.600713400609076e-6,0.004399119708417387,4.369082090757951
ENSG00000117228.10,4862,ENSG00000117228,GBP1,2633,2.2223218884750735,4.004091064821214,6.824200941438379,5.182751777117563e-6,0.004399119708417387,4.229780771398588
ENSG00000197142.10,4236,ENSG00000197142,ACSL5,51703,2.1988034316406844,2.7616609064580167,6.863386000291384,3.890534534114238e-6,0.004127857140695207,4.212094762164084
ENSG00000164342.13,6725,ENSG00000164342,TLR3,7098,0.7986686358980282,2.149003353610853,6.466431562863174,5.048635833245647e-6,0.004399119708417387,4.134678872806097
ENSG00000124201.15,9340,ENSG00000124201,ZNFX1,57169,0.4830748214665057,7.237345533884204,6.277253508760089,7.3145664729887066e-6,0.00549609559429124,3.902639269741308
ENSG00000165949.12,4147,ENSG00000165949,IFI27,3429,3.2965413045920133,3.878458216319494,6.623423700759269,7.338487676951859e-6,0.00549609559429124,3.8042296252921117
ENSG00000138642.15,5779,ENSG00000138642,HERC6,55008,1.8773051744184142,4.839840914965584,6.392995182502644,1.1013290069319373e-5,0.007049776889840936,3.6257136785242254
ENSG00000138496.16,8938,ENSG00000138496,PARP9,83666,0.9179293265965516,6.815645739416045,6.311142068173389,1.0325965554682683e-5,0.007049776889840936,3.6157501034438777
ENSG00000152778.9,4029,ENSG00000152778,IFIT5,24138,0.6246972079410194,5.917492075671308,6.068466719928095,1.1074107586932038e-5,0.007049776889840936,3.494809834226711
ENSG00000187678.9,6565,ENSG00000187678,SPRY4,81848,0.6856018579320451,3.8747760234727813,5.915713522455123,1.5054693021527526e-5,0.00871256143409493,3.2727148315521886
ENSG00000157601.14,8616,ENSG00000157601,MX1,4599,1.5848373778805556,6.700980233576652,6.188594600647766,1.5884269378455884e-5,0.00879297903158697,3.2263174863470976
ENSG00000109670.16,10979,ENSG00000109670,FBXW7,55294,0.3717959780033926,6.372758240489274,5.815204070822817,1.8456141898434677e-5,0.009790983277119596,2.993689163455503
