Geneid,Length,Ensembl,symbol,entrezid,logFC,logCPM,LR,PValue,FDR
ENSG00000130303.13,1101,ENSG00000130303,BST2,684,3.3629312152821624,3.7530053302668835,127.21028690813883,1.6709627250571115e-29,2.1274697415427143e-25
ENSG00000206337.12,11058,ENSG00000206337,HCP5,10866,4.7749445223349705,3.7673570460055807,94.0372251090939,3.0964540487705913e-22,1.9712026474473583e-18
ENSG00000140853.15,12386,ENSG00000140853,NLRC5,84166,2.719464251465492,3.086826129124489,79.24645954581686,5.4825522286335e-19,2.3267951658320573e-15
ENSG00000138646.9,4764,ENSG00000138646,HERC5,51191,2.9908245904547783,3.0882713879387347,77.12930781591695,1.6012348317192215e-18,5.096730469362282e-15
ENSG00000225492.6,2352,ENSG00000225492,GBP1P1,400759,1.921813816162056,2.4788905156176737,64.45997709990363,9.851324680063977e-16,2.508541316531491e-12
ENSG00000115415.20,9770,ENSG00000115415,STAT1,6772,1.214164206255408,8.1587537554318,59.08642433795736,1.508967141114578e-14,3.2020282734451344e-11
ENSG00000137628.17,6746,ENSG00000137628,DDX60,55601,1.601442795760406,6.3618362086678575,58.45468879608075,2.0802722653983783e-14,3.7837180690074504e-11
ENSG00000157601.14,8616,ENSG00000157601,MX1,4599,1.6621652935474929,7.264248966803297,56.242780823239926,6.405258160146486e-14,9.498384999334722e-11
ENSG00000132530.17,6615,ENSG00000132530,XAF1,54739,2.660971308925342,5.9488485383180825,56.15015777179045,6.71422125306413e-14,9.498384999334722e-11
ENSG00000137965.11,2038,ENSG00000137965,IFI44,10561,1.9497262028688,5.029526626485314,53.513589180189854,2.568102613576383e-13,3.2697082476054513e-10
ENSG00000234745.11,3051,ENSG00000234745,HLA-B,3106,2.972354480450497,5.873867505163748,50.49603899399456,1.1940554757456848e-12,1.3820649379267328e-9
ENSG00000115267.8,5094,ENSG00000115267,IFIH1,64135,1.1196564568533525,5.838636361367386,47.88032812182539,4.530445243006419e-12,4.806802402829811e-9
